ID,Item,Company,Quantity,Currency,Conversion Rate,ID (Items),Item Code (Items),Qty (Items),UOM (Items),Rate (Items)
BOM-TEM0000002-001,TEM0000002,Real Appliances Private Limited,1.0,INR,1.0,1957510ff8,ELC0006,1.0,Nos,0.0
,,,,,,b1de7aa566,HRD0007,3.0,Nos,0.0
,,,,,,09776c3bd5,HRD0025,1.0,Nos,0.0
,,,,,,c5674d8c6c,IMP0002,1.0,Nos,0.0
,,,,,,9c9ba79d03,MIS0003,1.0,Nos,0.0
,,,,,,1dc1dc8d4d,MIS0005,1.0,Nos,0.0
,,,,,,2af66d9527,MIS0009,100.0,Nos,0.0
,,,,,,a6c3d3b9ab,PCK0007,1.0,Nos,0.0
,,,,,,f425c72caa,PB0000092,1.0,Nos,0.0
,,,,,,f70b586f70,PAI0040,1.0,Nos,0.0
,,,,,,fcba40b9a2,PTC0070,1.0,Nos,0.0
,,,,,,78982747ab,PTC0071,1.0,Nos,0.0
,,,,,,41b8ee28c2,PTC0077,1.0,Nos,0.0
,,,,,,55dadbfa44,PTC0078,1.0,Nos,0.0
,,,,,,b7d32b8281,STK0001,1.0,Nos,0.0
,,,,,,7ef7a9061b,STK0002,1.0,Nos,0.0
,,,,,,4c4e8fee5f,STK0003,1.0,Nos,0.0
,,,,,,10ebed5629,STK0004,1.0,Nos,0.0
,,,,,,5a95d3eb8d,STK0005,1.0,Nos,0.0
,,,,,,dc3fb4d6b0,STK0006,1.0,Nos,0.0
,,,,,,5c3ba06ceb,STK0025,1.0,Nos,0.0
,,,,,,765db397ab,STK0026,1.0,Nos,0.0
,,,,,,58745c16e0,PCK0017,1.0,Nos,0.0
,,,,,,b72fbc5b35,WIH0001,1.0,Nos,0.0
,,,,,,089943fef2,PCK0009,960.0,Millimeter,0.0
BOM-TEM0000003-001,TEM0000003,Real Appliances Private Limited,1.0,INR,1.0,2e25f083a6,MIS0008,0.274,Square Meter,0.0
,,,,,,8e9dbeba1b,ELE0002,1.0,Nos,0.0
,,,,,,7352eb36f1,ASP0006,1.0,Nos,0.0
,,,,,,f1ff169f60,BRK0002,1.0,Nos,0.0
,,,,,,5fdfcf69de,ELC0006,1.0,Nos,0.0
,,,,,,b206e2b515,ELC0007,1.0,Nos,0.0
,,,,,,b2d93afda8,ELC0009,1.0,Nos,0.0
,,,,,,757dde0224,HRD0002,4.0,Nos,0.0
,,,,,,5f9affde16,HRD0004,6.0,Nos,0.0
,,,,,,76ed97e19c,HRD0009,2.0,Nos,0.0
,,,,,,eb3ec7750d,HRD0017,6.0,Nos,0.0
,,,,,,288e338cfd,HRD0023,5.0,Nos,0.0
,,,,,,25660b710d,HRD0024,3.0,Nos,0.0
,,,,,,c058e92d88,HRD0026,3.0,Nos,0.0
,,,,,,1a74dfa4f7,HRD0027,3.0,Nos,0.0
,,,,,,755735ae98,HRD0029,3.0,Nos,0.0
,,,,,,e2528fa79c,HRD0030,1.0,Nos,0.0
,,,,,,676c920be9,MIS0001,1.0,Nos,0.0
,,,,,,24d4b9c009,MIS0003,1.0,Nos,0.0
,,,,,,a8f8a99f3c,HRD0031,1.0,Nos,0.0
,,,,,,0ca9ca33a9,MIS0009,100.0,Nos,0.0
,,,,,,7b155bdf14,PCK0007,1.0,Nos,0.0
,,,,,,122a1c04d8,PCK0011,1.0,Nos,0.0
,,,,,,f167c5a96c,PB0000033,1.0,Nos,0.0
,,,,,,4afc7f12b3,PAI0045,1.0,Nos,0.0
,,,,,,0aea16c41d,PTC0010,1.0,Nos,0.0
,,,,,,e21e8281bf,PTC0011,1.0,Nos,0.0
,,,,,,4f3c76e342,PTC0012,1.0,Nos,0.0
,,,,,,76b0dff237,PTC0013,1.0,Nos,0.0
,,,,,,b9c3142b0a,PTC0077,1.0,Nos,0.0
,,,,,,5083849029,PTC0078,1.0,Nos,0.0
,,,,,,f9576b7dbc,RBP0002,1.0,Nos,0.0
,,,,,,85d2509d5e,RBP0009,1.0,Nos,0.0
,,,,,,bbbf47fd91,RBP0012,1.0,Nos,0.0
,,,,,,4825f500ae,STK0002,1.0,Nos,0.0
,,,,,,bdf13cba88,STK0004,1.0,Nos,0.0
,,,,,,2a390caf1c,STK0005,1.0,Nos,0.0
,,,,,,f074a38484,STK0006,1.0,Nos,0.0
,,,,,,8f81ab1618,STK0008,1.0,Nos,0.0
,,,,,,0db0a9b22d,STK0012,1.0,Nos,0.0
,,,,,,e5a5a67909,STK0018,1.0,Nos,0.0
,,,,,,a616e9047b,STK0022,1.0,Nos,0.0
,,,,,,4932820c6f,STK0025,1.0,Nos,0.0
,,,,,,05ee2b5fd8,STK0026,1.0,Nos,0.0
,,,,,,941c13008c,STK0028,1.0,Nos,0.0
,,,,,,5d88d73095,STK0030,1.0,Nos,0.0
,,,,,,324ac6faeb,STK0038,1.0,Nos,0.0
,,,,,,3159e79b7b,STK0039,1.0,Nos,0.0
,,,,,,c2fbc119e2,TNK0005,1.0,Nos,0.0
,,,,,,13e7000301,PCK0017,1.0,Nos,0.0
,,,,,,606a7b3eaa,PCK0018,1.0,Nos,0.0
,,,,,,3942124078,WIH0005,1.0,Nos,0.0
,,,,,,6d9263b94a,PCK0010,1.0,Meter,0.0
,,,,,,fab0fac3fc,MIS0012,1.0,Millimeter,0.0
,,,,,,cd460ce56c,CON0001,1.0,Gram,0.0
,,,,,,bbdaadf98c,CON0002,1.0,Gram,0.0
,,,,,,cc95690ece,CON0003,1.0,Gram,0.0
,,,,,,a929176537,CON0004,1.0,Gram,0.0
BOM-TEM0000005-001,TEM0000005,Real Appliances Private Limited,1.0,INR,1.0,e70553d9db,HRD0007,3.0,Nos,0.0
,,,,,,dcd486902a,HRD0012,5.0,Nos,0.0
,,,,,,0eaddcedd6,HRD0013,5.0,Nos,0.0
,,,,,,b41f36cc4c,HRD0017,2.0,Nos,0.0
,,,,,,15cf5149d9,HRD0025,1.0,Nos,0.0
,,,,,,85a30f08aa,IMP0002,1.0,Nos,0.0
,,,,,,87a727c4a9,IMP0001,1.0,Nos,0.0
,,,,,,dfab2e4920,IMP0005,1.0,Nos,0.0
,,,,,,9621e983e8,IMP0007,1.0,Nos,0.0
,,,,,,301ccd8919,HRD0032,1.0,Nos,0.0
,,,,,,ddee1c18d5,MIS0003,1.0,Nos,0.0
,,,,,,7ed345bc52,MIS0005,1.0,Nos,0.0
,,,,,,a7f97552df,MIS0009,100.0,Nos,0.0
,,,,,,898c0a7198,PCK0007,1.0,Nos,0.0
,,,,,,c7d76ff94e,PCK0012,1.0,Nos,0.0
,,,,,,78677c58a1,PB0000023,1.0,Nos,0.0
,,,,,,492de7cb32,PB0000053,1.0,Nos,0.0
,,,,,,0412800b14,PAI0040,1.0,Nos,0.0
,,,,,,ea62debb80,PTC0056,1.0,Nos,0.0
,,,,,,438acca107,PTC0057,1.0,Nos,0.0
,,,,,,a537b86f83,PTC0058,1.0,Nos,0.0
,,,,,,24061a0d12,PTC0068,1.0,Nos,0.0
,,,,,,8b9156483e,PTC0069,1.0,Nos,0.0
,,,,,,2434f9e67c,PTC0070,1.0,Nos,0.0
,,,,,,285eb82991,PTC0071,1.0,Nos,0.0
,,,,,,34b959d76b,PTC0077,1.0,Nos,0.0
,,,,,,d0e9bde655,PTC0078,1.0,Nos,0.0
,,,,,,266087a670,RBP0010,1.0,Nos,0.0
,,,,,,c4f11d103b,RBP0013,1.0,Nos,0.0
,,,,,,15f5cfb2c7,STK0001,1.0,Nos,0.0
,,,,,,06e586cb2b,STK0002,1.0,Nos,0.0
,,,,,,a99a8eff55,STK0003,1.0,Nos,0.0
,,,,,,b2ee5a5501,STK0004,1.0,Nos,0.0
,,,,,,40b793470d,STK0005,1.0,Nos,0.0
,,,,,,3210acef17,STK0006,1.0,Nos,0.0
,,,,,,f03ab23f22,STK0014,1.0,Nos,0.0
,,,,,,ad97c04b37,STK0019,1.0,Nos,0.0
,,,,,,466896e919,STK0023,1.0,Nos,0.0
,,,,,,b67e9557bf,STK0025,1.0,Nos,0.0
,,,,,,f70e193963,STK0026,1.0,Nos,0.0
,,,,,,5e51142504,STK0029,1.0,Nos,0.0
,,,,,,698306b187,STK0030,1.0,Nos,0.0
,,,,,,b101d34d17,TNK0016,1.0,Nos,0.0
,,,,,,ee6e871c6a,PCK0017,1.0,Nos,0.0
,,,,,,1bf629b025,WIH0001,1.0,Nos,0.0
,,,,,,60a167e504,WIH0002,1.0,Nos,0.0
,,,,,,8bf96659b6,PCK0010,960.0,Meter,0.0
,,,,,,0a7ed2da48,PCK0001,1620.0,Millimeter,0.0
,,,,,,6a961576ea,PCK0009,960.0,Millimeter,0.0
,,,,,,c9d8f2c1a2,CEM0001,228.0,Gram,0.0
,,,,,,c501957fb9,CEM0002,190.0,Gram,0.0
BOM-TEM0000006-001,TEM0000006,Real Appliances Private Limited,1.0,INR,1.0,ae189dc1ef,MIS0008,0.278,Square Meter,0.0
,,,,,,1724a22fca,ELE0004,1.0,Nos,0.0
,,,,,,f5109fb34e,ASP0007,1.0,Nos,0.0
,,,,,,fe9092c47d,ELC0006,1.0,Nos,0.0
,,,,,,2cb5879cac,ELC0009,1.0,Nos,0.0
,,,,,,b9a786e8ac,HRD0002,9.0,Nos,0.0
,,,,,,ff997f9c31,HRD0003,2.0,Nos,0.0
,,,,,,d14c413a48,HRD0007,2.0,Nos,0.0
,,,,,,b028ab74d3,HRD0010,4.0,Nos,0.0
,,,,,,f4a5885dbf,HRD0014,1.0,Nos,0.0
,,,,,,475d344b10,HRD0020,5.0,Nos,0.0
,,,,,,bccf43d1cf,HRD0024,3.0,Nos,0.0
,,,,,,4c8ead51d5,HRD0025,7.0,Nos,0.0
,,,,,,9df402dab7,HRD0028,1.0,Nos,0.0
,,,,,,52bcd8e944,HRD0029,3.0,Nos,0.0
,,,,,,1d81e5f0de,IMP0002,1.0,Nos,0.0
,,,,,,d2bbfedf72,HRD0030,1.0,Nos,0.0
,,,,,,6b28476721,MIS0001,1.0,Nos,0.0
,,,,,,8d51a80832,MIS0003,1.0,Nos,0.0
,,,,,,3af3abda74,MIS0005,1.0,Nos,0.0
,,,,,,6ce8728c85,HRD0031,1.0,Nos,0.0
,,,,,,bee9832292,MIS0009,1.0,Nos,0.0
,,,,,,92376ebaf9,PCK0006,1.0,Nos,0.0
,,,,,,121a0caa24,PCK0011,1.0,Nos,0.0
,,,,,,0fd84e5e8c,PB0000094,1.0,Nos,0.0
,,,,,,63ff48b90d,PAI0003,1.0,Nos,0.0
,,,,,,0884d8b6b3,PAI0004,1.0,Nos,0.0
,,,,,,4c5436ae50,PAI0005,1.0,Nos,0.0
,,,,,,69ec9cbca2,PAI0018,1.0,Nos,0.0
,,,,,,3832d2b089,PAI0041,1.0,Nos,0.0
,,,,,,ac18ea6e78,PTC0070,1.0,Nos,0.0
,,,,,,f7076875a4,PTC0071,1.0,Nos,0.0
,,,,,,a8751d1597,PTC0077,1.0,Nos,0.0
,,,,,,fa9611272e,PTC0078,1.0,Nos,0.0
,,,,,,9d661fc33d,RBP0002,1.0,Nos,0.0
,,,,,,5494fc2d3b,RBP0004,1.0,Nos,0.0
,,,,,,080f9f4b85,RBP0007,2.0,Nos,0.0
,,,,,,275161c622,RBP0009,1.0,Nos,0.0
,,,,,,7378f03cb2,RBP0014,1.0,Nos,0.0
,,,,,,b125e6cffc,STK0001,1.0,Nos,0.0
,,,,,,199f374d94,STK0002,1.0,Nos,0.0
,,,,,,18487413c4,STK0003,1.0,Nos,0.0
,,,,,,59dda4fea3,STK0004,1.0,Nos,0.0
,,,,,,25669f2878,STK0006,1.0,Nos,0.0
,,,,,,189ae58626,STK0009,1.0,Nos,0.0
,,,,,,4ccbdf3646,STK0013,1.0,Nos,0.0
,,,,,,7.208983E+073,STK0019,1.0,Nos,0.0
,,,,,,54ca0376ef,STK0023,1.0,Nos,0.0
,,,,,,4da4360361,STK0025,1.0,Nos,0.0
,,,,,,42458a9808,STK0026,1.0,Nos,0.0
,,,,,,dd0c36b8ce,STK0035,1.0,Nos,0.0
,,,,,,20edef33d7,STK0039,1.0,Nos,0.0
,,,,,,42f7e29ef5,TNK0007,1.0,Nos,0.0
,,,,,,ca0e02fb79,PCK0019,1.0,Nos,0.0
,,,,,,5d412cce9b,PCK0020,1.0,Nos,0.0
,,,,,,8058487c05,WIH0001,1.0,Nos,0.0
,,,,,,e61897fcfa,RBP0019,2020.0,Millimeter,0.0
,,,,,,2ba5c72519,MIS0012,2500.0,Millimeter,0.0
,,,,,,6c2e5a25ef,PCK0001,3700.0,Millimeter,0.0
,,,,,,1c96c6886d,CON0001,1.0,Gram,0.0
,,,,,,f297737b17,CON0002,1.0,Gram,0.0
,,,,,,f32f440e7d,CON0003,1.0,Gram,0.0
,,,,,,170bc8a676,CON0004,1.0,Gram,0.0
BOM-TEM0000004-001,TEM0000004,Real Appliances Private Limited,1.0,INR,1.0,ca0f010dd2,MIS0008,0.274,Square Meter,0.0
,,,,,,6e028acf4e,WIH0007,1.0,Set,0.0
,,,,,,84193537db,ELE0002,1.0,Nos,0.0
,,,,,,d876463445,ASP0005,1.0,Nos,0.0
,,,,,,544a7632fe,ELC0006,1.0,Nos,0.0
,,,,,,d4df6c919e,ELC0007,1.0,Nos,0.0
,,,,,,c62867ee5c,ELC0009,1.0,Nos,0.0
,,,,,,079b359888,HRD0002,12.0,Nos,0.0
,,,,,,e4c046eca7,HRD0014,1.0,Nos,0.0
,,,,,,10cdd32e8a,HRD0020,3.0,Nos,0.0
,,,,,,052ce53d17,HRD0021,2.0,Nos,0.0
,,,,,,54c5f5d274,HRD0024,3.0,Nos,0.0
,,,,,,7c74c01c68,HRD0025,2.0,Nos,0.0
,,,,,,5eab835c69,HRD0026,4.0,Nos,0.0
,,,,,,7a9728162c,HRD0027,2.0,Nos,0.0
,,,,,,b8856a327d,HRD0029,3.0,Nos,0.0
,,,,,,fd76c04749,HRD0030,1.0,Nos,0.0
,,,,,,836d2213b5,MIS0001,1.0,Nos,0.0
,,,,,,ffc86ed4ff,MIS0003,1.0,Nos,0.0
,,,,,,a9dce2b2ff,HRD0031,1.0,Nos,0.0
,,,,,,10f839c794,MIS0009,100.0,Nos,0.0
,,,,,,a94e63570c,MIS0010,2.0,Nos,0.0
,,,,,,da7b29d093,PCK0007,1.0,Nos,0.0
,,,,,,a532acadb0,PCK0011,1.0,Nos,0.0
,,,,,,d4cc50ee45,PB0000023,1.0,Nos,0.0
,,,,,,7f74a0ba5b,PAI0014,1.0,Nos,0.0
,,,,,,b35497e639,PAI0040,1.0,Nos,0.0
,,,,,,83d9ac275e,PTC0042,1.0,Nos,0.0
,,,,,,12671bc5a5,PTC0043,1.0,Nos,0.0
,,,,,,a7ee03f5f5,PTC0044,2.0,Nos,0.0
,,,,,,682bfa4088,PTC0077,1.0,Nos,0.0
,,,,,,ac4b473d5e,PTC0078,1.0,Nos,0.0
,,,,,,2c9574e274,RBP0002,1.0,Nos,0.0
,,,,,,7b73499d79,RBP0005,1.0,Nos,0.0
,,,,,,309f89048e,RBP0006,1.0,Nos,0.0
,,,,,,5e5a8954cb,RBP0009,1.0,Nos,0.0
,,,,,,62ca08ca06,RBP0015,1.0,Nos,0.0
,,,,,,bb88cbb788,STK0002,1.0,Nos,0.0
,,,,,,7cabb4a752,STK0004,1.0,Nos,0.0
,,,,,,69d87004cf,STK0005,1.0,Nos,0.0
,,,,,,40596a1e10,STK0006,1.0,Nos,0.0
,,,,,,556cf83784,STK0008,1.0,Nos,0.0
,,,,,,dcd5ab5c73,STK0012,1.0,Nos,0.0
,,,,,,0c082211ca,STK0018,1.0,Nos,0.0
,,,,,,48407e495f,STK0022,1.0,Nos,0.0
,,,,,,813c418724,STK0025,1.0,Nos,0.0
,,,,,,272c5b4a75,STK0026,1.0,Nos,0.0
,,,,,,9eaacc5373,STK0028,1.0,Nos,0.0
,,,,,,e12ac44aa2,STK0034,1.0,Nos,0.0
,,,,,,360c968d1b,STK0038,1.0,Nos,0.0
,,,,,,d5911440ce,STK0039,1.0,Nos,0.0
,,,,,,57d56df6af,TNK0005,1.0,Nos,0.0
,,,,,,a963e2329c,PCK0017,1.0,Nos,0.0
,,,,,,ecf9d444e4,PCK0018,1.0,Nos,0.0
,,,,,,03c13ab979,PCK0010,960.0,Meter,0.0
,,,,,,8599024113,MIS0012,1.0,Millimeter,0.0
,,,,,,7decefca76,PCK0009,960.0,Millimeter,0.0
,,,,,,895d1f2a10,CON0001,1.0,Gram,0.0
,,,,,,2dda4d3fed,CON0002,1.0,Gram,0.0
,,,,,,788285c4c5,CON0003,1.0,Gram,0.0
,,,,,,bc48eb31e5,CON0004,1.0,Gram,0.0
BOM-TEM0000007-001,TEM0000007,Real Appliances Private Limited,1.0,INR,1.0,80e88d23e0,MIS0008,0.274,Square Meter,0.0
,,,,,,fbf5d2a03c,ELE0002,1.0,Nos,0.0
,,,,,,70d74296cc,ASP0005,1.0,Nos,0.0
,,,,,,e420cbd86d,ELC0006,1.0,Nos,0.0
,,,,,,f50ddb8f2a,ELC0009,1.0,Nos,0.0
,,,,,,e03a95196a,HRD0002,7.0,Nos,0.0
,,,,,,9082499ffd,HRD0003,2.0,Nos,0.0
,,,,,,5c083b9acd,HRD0007,2.0,Nos,0.0
,,,,,,5772ebc548,HRD0010,4.0,Nos,0.0
,,,,,,18511fc34b,HRD0014,1.0,Nos,0.0
,,,,,,6502c672b9,HRD0020,5.0,Nos,0.0
,,,,,,502e1fbcd1,HRD0024,3.0,Nos,0.0
,,,,,,3bdf5eac4e,HRD0025,7.0,Nos,0.0
,,,,,,f2eb17df8d,HRD0028,1.0,Nos,0.0
,,,,,,4418004868,HRD0029,3.0,Nos,0.0
,,,,,,726b7311b3,IMP0002,1.0,Nos,0.0
,,,,,,1cbddb7098,HRD0030,1.0,Nos,0.0
,,,,,,b84399f05f,MIS0001,1.0,Nos,0.0
,,,,,,11653446cc,MIS0003,1.0,Nos,0.0
,,,,,,9b8d56d21d,MIS0005,1.0,Nos,0.0
,,,,,,eaa04eb7b9,HRD0031,1.0,Nos,0.0
,,,,,,2a3f87cc6a,MIS0009,1.0,Nos,0.0
,,,,,,b6f5862fe7,PCK0007,1.0,Nos,0.0
